"track_id","track_name","duration","explicit"
"3CACzG9I3AoKUKA3ODE5zW","Me Vas a Extrañar - En Vivo","238528","0"
"5w9c2J52mkdntKOmRLeM2m","Con Calma","193226","0"
"2EEmzqzM70CybVspgM7YRT","La Boca - Remix","188467","0"
"6K5BsR04ijf3FHNzjbaagD","Si Se Da - Remix","332240","1"
"56f5qnyAlZdlz8wrUDA50h","Desconocidos","204563","1"
"1G2CAJeP7rCwOZjlSJ0Zw3","Que Calor (with J Balvin & El Alfa)","169997","0"
"6FyRXC8tJUh863JCkyWqtk","Adan y Eva","258638","0"
"3trowLiYwwOoiwapLISNyk","No Te Creas Tan Importante - En Vivo","239760","0"
"0blWPYAfbvpRLVHUcmqmmj","FRESCO","170302","1"
"4LRYdLim72NkkWlBBgKOZG","El efecto - Remix","157802","0"
"25ZAibhr3bdlMCLmubZDVt","QUE PRETENDES","222346","0"
"6v0lAdFF4haL8xjBIUjtOw","Te Robaré","201818","0"
"0cXGtTRfQKSHojilCoBAOd","Olvídala","290120","0"
"6qqd7DGn2VXzxsR4k3Ycun","Fantasias - Unplugged","200593","0"
"5vPtzdjJ9tm7XCoKDH22Gb","High","187200","1"
"6osaMSJh9NguagEDQcZaKx","Loco Contigo (feat. J. Balvin & Tyga)","185194","0"
"0BNtpLD6zsXJGroRtcixOE","Años Luz","193246","0"
"2vrpcQNg6itmgVZWsNjWe0","Un Año","163813","0"
"4Clmg1g8n2yBYG13Z1oSdG","Baila Conmigo (feat. Kelly Ruiz)","189817","0"
"1v4ggzkdNysd77L7oJ6GmU","Disfruto","130403","0"
"7ouulWlZPefmEIGYWNyiPH","Trueno: Bzrp Music Sessions, Vol. 16","158983","1"
"0dDboLfmRNsTBscy4j3Rnl","Hasta Que Salga el Sol","188480","0"
"40fOB5r0wfKzcKZU0SkrAI","La Playax","142303","0"
"3KekO5WUfJsh7kYU9o2w50","Atrévete","198320","0"
"56HBkP5mBsUALQnstFiqIY","Uno más uno","146050","0"
"39Eg7ODMsB9Uu55Q0UJQzV","Tik Tok Remix","147748","0"
"4jrZI0XdexLjrHlBwLbhzL","Te Olvidaré","185426","0"
"1Ej96GIBCTvgH7tNX1r3qr","Otro Trago","225933","1"
"5099x34vBakWpGkHourFxP","Qué Pena","212711","0"
"7q3NthaBqFI6s0WnAlnIvq","Velitas","225542","1"
"0OoqRZXnSrgIUAha3iLKG1","La Cama","189295","0"
"703iVQrfbQsXt7Uzgy1h8k","Cristina","201626","0"
